,Tour,City,State,Country,Cast,Lat,Long
0,Spring 2007,Farmington,New Mexico,USA,A07,36.72805830000001,-108.2186856
1,Spring 2007,Tucson,Arizona,USA,A07,32.2226066,-110.9747108
2,Spring 2007,Dallas,Texas,USA,A07,32.7766642,-96.79698789999999
3,Spring 2007,Baton Rouge,Louisiana,USA,A07,30.4514677,-91.18714659999999
4,Spring 2007,New Orleans,Louisiana,USA,A07,29.95106579999999,-90.0715323
5,Spring 2007,Nashville,Tennessee,USA,A07,36.1626638,-86.7816016
6,Spring 2007,Chattahoochee Valley,Georgia / Alabama,USA,A07,32.4244948,-85.0322391
7,Spring 2007,Venice,Florida,USA,A07,27.0997775,-82.4542632
8,Spring 2007,Antwerpen,-,Belgium,A07,51.2194475,4.4024643
9,Spring 2007,Utrecht,-,Netherlands,A07,52.09073739999999,5.1214201
10,Spring 2007,Leipzig,-,Germany,A07,51.3396955,12.3730747
11,Spring 2007,Bremen,-,Germany,A07,53.07929619999999,8.8016936
12,Spring 2007,Gothenburg,-,Sweden,A07,57.70887,11.97456
13,Spring 2007,Rosilkde,-,Denmark,A07,55.64191,12.087845
14,Spring 2007,Chang Mai,-,Thailand,A07,18.7883439,98.98530079999999
15,Spring 2007,Bangkok,-,Thailand,A07,13.7563309,100.5017651
16,Fall 2007,Tucson,Arizona,USA,B07,32.2226066,-110.9747108
17,Fall 2007,Thailand,-,Thailand,B07,15.870032,100.992541
18,Fall 2007,Espoo,-,Finland,B07,60.2054911,24.6559
19,Fall 2007,Sodertalje,-,Sweden,B07,59.19536300000001,17.625689
20,Fall 2007,Vimmerby,-,Sweden,B07,57.6690339,15.858857
21,Fall 2007,Uelzen,-,Germany,B07,52.9658199,10.5580304
22,Fall 2007,Erfurt,-,Germany,B07,50.98476789999999,11.02988
23,Fall 2007,Hasselt,-,Belgium,B07,50.93069,5.332479999999999
24,Fall 2007,Gwinnett County,Georgia,USA,B07,33.9190653,-84.01674229999999
25,Fall 2007,Winston-Salem,North Carolina,USA,B07,36.09985959999999,-80.244216
26,Fall 2007,Easton,Maryland,USA,B07,38.7742826,-76.0763305
27,Fall 2007,Woonsocket,Rhode Island,USA,B07,42.00287609999999,-71.51478390000001
28,Fall 2007,Hartford,Connecticut,USA,B07,41.7658043,-72.6733723
29,Fall 2007,Suffern,New York,USA,B07,41.1148179,-74.1495889
30,Fall 2007,Somerset Hills,New Jersey,USA,B07,40.7046472,-74.6166192
